Organization name,Category,Description,Technologies,Topics,Link
OSGeo,End User Applications,Open Source Geospatial Foundation,"c++, python, c, sql,java","gis, cartography, maps, science, geospatial",https://summerofcode.withgoogle.com/archive/2017/organizations/4554340639440896/
oVirt,End User Applications,Open virtual datacenter management for all,"java, python,kvm","virtualization,enterprise application",https://summerofcode.withgoogle.com/archive/2017/organizations/5718999941775360/
ownCloud,Cloud,A safe home for all your data,"php,qt, android,ios,javascript","cloud,sync,file share",https://summerofcode.withgoogle.com/archive/2017/organizations/5721528872206336/
P2PSP.org,Graphics / Video / Audio / Virtual Reality,Shaping the future Internet TV,"c++,python,qt,sockets,webrtc","p2p,multimedia,streaming,security,video",https://summerofcode.withgoogle.com/archive/2017/organizations/6195936732643328/
PEcAn Project,Science and Medicine,Develop accessible tools for reproducible ecosystem modeling and forecasting,"r, php,postgresql,javascript ,c","ecosystem models,ecological forecasting,scientific visualization,data science,climate science",https://summerofcode.withgoogle.com/archive/2017/organizations/4773366791667712/
Performance Co-Pilot,Operating Systems,System-level performance analysis toolkit,"python,javascript,c,linux,windows","high performance computing,visualization, web development,kernel,performance",https://summerofcode.withgoogle.com/archive/2017/organizations/5840169290694656/
Pharo Consortium,Programming Languages and Development Tools,Pharo: The Immersive Programming Experience,"smalltalk,roassal,polymath,pharo","object oriented programming,dynamic environment,data science,user interface,ide",https://summerofcode.withgoogle.com/archive/2017/organizations/5691803940421632/
phpBB Forum Software,Social / Communications,phpBB is the most widely used free and open source forum software,"php ,mysql,javascript,symfony,css","social,communication,collaboration,forum,community",https://summerofcode.withgoogle.com/archive/2017/organizations/5715998162288640/
phpMyAdmin,Data and Databases,A web interface for MySQL written in PHP,"php,mysql,jquery,javascript,cakephp","database,mysql,developer,administrator,web application",https://summerofcode.withgoogle.com/archive/2017/organizations/5535586047754240/
Physical Web Project,Other,Physical Web GSoC project based on the Physical Web,"beacon,web bluetooth,physical web,bluetooth","internet of things,beacons",https://summerofcode.withgoogle.com/archive/2017/organizations/6491731667189760/
Plone Foundation,Web,The premier python-based open source CMS,"python, javascript,html/css"," content management,cms",https://summerofcode.withgoogle.com/archive/2017/organizations/4530756705583104/
PMD,Programming Languages and Development Tools,An extensible cross-language static code analyzer.,"java,javacc,xml,antlr,xpath","code quality,source code analyzer,code analysis,linter",https://summerofcode.withgoogle.com/archive/2017/organizations/5158578918785024/
